Name Of Player,Bio Link,ODI Stats link
KJ Arnott,http://stats.espncricinfo.com/ci/content/player/55235.html,http://stats.espncricinfo.com/ci/engine/player/55235.html?class=2;template=results;type=batting;view=series
Arshad Ali,http://stats.espncricinfo.com/ci/content/player/25591.html,http://stats.espncricinfo.com/ci/engine/player/25591.html?class=2;template=results;type=batting;view=series
Arshad Ayub,http://stats.espncricinfo.com/ci/content/player/26290.html,http://stats.espncricinfo.com/ci/engine/player/26290.html?class=2;template=results;type=batting;view=series
Arshad Khan,http://stats.espncricinfo.com/ci/content/player/39005.html,http://stats.espncricinfo.com/ci/engine/player/39005.html?class=2;template=results;type=batting;view=series
Arshad Laeeq,http://stats.espncricinfo.com/ci/content/player/25532.html,http://stats.espncricinfo.com/ci/engine/player/25532.html?class=2;template=results;type=batting;view=series
Arshad Pervez,http://stats.espncricinfo.com/ci/content/player/39006.html,http://stats.espncricinfo.com/ci/engine/player/39006.html?class=2;template=results;type=batting;view=series
KLT Arthurton,http://stats.espncricinfo.com/ci/content/player/51110.html,http://stats.espncricinfo.com/ci/engine/player/51110.html?class=2;template=results;type=batting;view=series
B Arun,http://stats.espncricinfo.com/ci/content/player/26293.html,http://stats.espncricinfo.com/ci/engine/player/26293.html?class=2;template=results;type=batting;view=series
J Arun Lal,http://stats.espncricinfo.com/ci/content/player/26295.html,http://stats.espncricinfo.com/ci/engine/player/26295.html?class=2;template=results;type=batting;view=series
Asad Ali,http://stats.espncricinfo.com/ci/content/player/222728.html,http://stats.espncricinfo.com/ci/engine/player/222728.html?class=2;template=results;type=batting;view=series
Asad Shafiq,http://stats.espncricinfo.com/ci/content/player/316397.html,http://stats.espncricinfo.com/ci/engine/player/316397.html?class=2;template=results;type=batting;view=series
Asghar Afghan,http://stats.espncricinfo.com/ci/content/player/320652.html,http://stats.espncricinfo.com/ci/engine/player/320652.html?class=2;template=results;type=batting;view=series
Asghar Ali,http://stats.espncricinfo.com/ci/content/player/25598.html,http://stats.espncricinfo.com/ci/engine/player/25598.html?class=2;template=results;type=batting;view=series
Ashfaq Ahmed,http://stats.espncricinfo.com/ci/content/player/39940.html,http://stats.espncricinfo.com/ci/engine/player/39940.html?class=2;template=results;type=batting;view=series
Ashfaq Ahmed,http://stats.espncricinfo.com/ci/content/player/39007.html,http://stats.espncricinfo.com/ci/engine/player/39007.html?class=2;template=results;type=batting;view=series
Ashraf Ali,http://stats.espncricinfo.com/ci/content/player/39008.html,http://stats.espncricinfo.com/ci/engine/player/39008.html?class=2;template=results;type=batting;view=series
R Ashwin,http://stats.espncricinfo.com/ci/content/player/26421.html,http://stats.espncricinfo.com/ci/engine/player/26421.html?class=2;template=results;type=batting;view=series
Asif Ali,http://stats.espncricinfo.com/ci/content/player/494230.html,http://stats.espncricinfo.com/ci/engine/player/494230.html?class=2;template=results;type=batting;view=series
Asif Iqbal,http://stats.espncricinfo.com/ci/content/player/39010.html,http://stats.espncricinfo.com/ci/engine/player/39010.html?class=2;template=results;type=batting;view=series
Asif Iqbal (1),http://stats.espncricinfo.com/ci/content/player/39898.html,http://stats.espncricinfo.com/ci/engine/player/39898.html?class=2;template=results;type=batting;view=series
Asif Mahmood,http://stats.espncricinfo.com/ci/content/player/39011.html,http://stats.espncricinfo.com/ci/engine/player/39011.html?class=2;template=results;type=batting;view=series
Asif Masood,http://stats.espncricinfo.com/ci/content/player/39012.html,http://stats.espncricinfo.com/ci/engine/player/39012.html?class=2;template=results;type=batting;view=series
Asif Mujtaba,http://stats.espncricinfo.com/ci/content/player/39013.html,http://stats.espncricinfo.com/ci/engine/player/39013.html?class=2;template=results;type=batting;view=series
Asim Butt,http://stats.espncricinfo.com/ci/content/player/25429.html,http://stats.espncricinfo.com/ci/engine/player/25429.html?class=2;template=results;type=batting;view=series
